building_id,load_type,ashrae_climate_zone,vintage,building_type,location,area_sqm,annual_heating_cooling_ratio,chw_annual_load,chw_cooling_hour_ratio,chw_cooling_hours,chw_data_coverage,chw_max_load,chw_max_load_gt0,chw_max_load_per_area,chw_mean_load,chw_mean_load_gt0,chw_median_load,chw_median_load_gt0,chw_min_load,chw_min_load_gt0,chw_pct_below_10pct_max,chw_pct_below_20pct_max,chw_pct_below_30pct_max,chw_pct_below_40pct_max,chw_pct_below_50pct_max,chw_pct_below_60pct_max,chw_pct_below_70pct_max,chw_pct_below_80pct_max,chw_pct_below_90pct_max,chw_q25_load,chw_q75_load,chw_valid_hours,heat_recovery_heating_fraction,hhw_annual_load,hhw_data_coverage,hhw_heating_hour_ratio,hhw_heating_hours,hhw_max_load,hhw_max_load_gt0,hhw_max_load_per_area,hhw_mean_load,hhw_mean_load_gt0,hhw_median_load,hhw_median_load_gt0,hhw_min_load,hhw_min_load_gt0,hhw_pct_below_10pct_max,hhw_pct_below_20pct_max,hhw_pct_below_30pct_max,hhw_pct_below_40pct_max,hhw_pct_below_50pct_max,hhw_pct_below_60pct_max,hhw_pct_below_70pct_max,hhw_pct_below_80pct_max,hhw_pct_below_90pct_max,hhw_q25_load,hhw_q75_load,hhw_valid_hours,max_heating_load_after_heat_recovery,max_temp,mean_temp,median_temp,min_temp,q10_temp,q20_temp,q25_temp,q30_temp,q40_temp,q50_temp,q60_temp,q70_temp,q75_temp,q80_temp,q90_temp,ratio_of_peak_heating_and_cooling,simultaneous_heating_and_cooling_hour_ratio,simultaneous_heating_and_cooling_hours
1,simulation,5B,2020s,Hospital,Denver,22000,0.49,2436511556.72,100.0,8760.0,100.0,1209329.17,1209329.17,53.9,278140.59,278140.59,169579.62,169579.62,454.13,454.13,43.92,59.43,71.43,78.68,84.84,89.58,92.16,95.8,99.0,52861.25,416217.84,8760.0,0.59,1197558184.73,100.0,100.0,8760.0,487444.06,487444.06,21.73,136707.56,136707.56,118922.73,118922.73,27237.47,27237.47,1.13,32.83,64.63,82.15,92.84,97.26,98.77,99.49,99.9,89336.27,172660.0,8760.0,486455.54,39.05,10.02,9.66,-22.58,-4.0,0.0,1.42,3.17,6.25,9.66,13.75,17.0,18.58,20.14,25.0,0.4,100.0,8760.0
2,simulation,8,2020s,HotelLarge,Fairbanks,11000,2.92,252608598.3,64.28,5631.0,100.0,357288.66,357288.66,31.49,28836.6,44860.34,1867.93,18065.68,0.0,41.76,75.97,86.35,90.74,93.9,96.16,97.92,99.18,99.53,99.89,0.0,33594.44,8760.0,0.02,736879759.49,100.0,82.09,7191.0,728037.11,728037.11,64.17,84118.69,102472.5,38541.71,56775.5,0.0,0.0,65.98,85.24,91.06,91.84,92.31,93.38,97.15,99.33,99.86,435.85,98757.51,8760.0,728037.11,30.0,-1.44,-0.38,-38.3,-22.34,-17.16,-14.65,-11.91,-6.45,-0.38,5.64,10.18,11.91,13.62,17.34,2.04,46.38,4063.0
3,simulation,4C,2000s,HotelLarge,Seattle,11000,0.83,699874167.35,68.55,6005.0,100.0,521680.76,521680.76,45.98,79894.31,116548.57,14610.75,63974.42,0.0,228.0,63.17,72.65,79.84,85.02,89.14,91.97,95.29,97.89,99.37,0.0,121611.9,8760.0,0.31,581930174.0,100.0,100.0,8760.0,185574.8,185574.8,16.36,66430.39,66430.39,62184.5,62184.5,6.52,6.52,8.11,20.07,42.13,61.71,76.32,87.69,96.14,99.55,99.93,41870.55,91054.32,8760.0,185574.8,31.55,11.24,11.06,-5.6,3.9,5.89,6.74,7.66,9.4,11.06,12.55,14.11,15.0,16.1,19.4,0.36,68.55,6005.0
4,simulation,6B,2000s,HotelLarge,Great Falls,11000,2.35,749717140.92,59.98,5254.0,100.0,695641.56,695641.56,61.32,85584.15,142694.55,8623.07,69514.09,0.0,727.73,70.02,77.5,83.14,87.8,91.44,94.82,96.88,98.57,99.71,0.0,114782.35,8760.0,0.06,1759013542.31,100.0,99.9,8751.0,893740.0,893740.0,78.78,200800.63,201007.15,136169.12,136408.53,0.0,0.04,43.79,55.7,69.45,80.48,86.99,90.48,94.12,97.45,98.28,28751.8,310492.43,8760.0,893740.0,36.74,7.07,7.38,-33.9,-8.09,-1.1,0.39,1.99,4.61,7.38,10.6,13.65,15.25,17.27,21.93,1.28,59.87,5245.0
5,simulation,5C,2020s,OfficeLarge,Port Angeles,46000,0.87,351368786.4,28.18,2469.0,100.0,1285690.53,1285690.53,27.76,40110.59,142312.19,0.0,26698.08,0.0,0.02,91.18,94.33,96.4,97.96,98.53,99.01,99.3,99.81,99.93,0.0,498.55,8760.0,0.02,306453494.93,100.0,37.51,3286.0,603812.53,603812.53,13.04,34983.28,93260.35,0.0,65173.26,0.0,0.0,80.49,88.65,93.31,96.43,98.12,99.29,99.75,99.92,99.97,0.0,21256.6,8760.0,603812.53,29.58,9.26,9.0,-5.36,2.98,4.58,5.58,6.0,7.42,9.0,10.42,12.0,12.58,13.58,16.58,0.47,11.93,1045.0
6,simulation,3B,2020s,Hospital,San Diego,22000,0.25,3931884826.43,100.0,8760.0,100.0,1455306.82,1455306.82,64.86,448845.3,448845.3,322078.07,322078.07,50584.74,50584.74,10.23,43.66,63.76,76.54,82.75,86.21,88.81,91.13,96.16,196870.92,555212.3,8760.0,0.96,981758267.08,100.0,100.0,8760.0,293384.31,293384.31,13.08,112072.86,112072.86,112065.48,112065.48,14824.43,14824.43,0.13,4.45,26.62,56.18,85.45,96.21,99.06,99.83,99.98,86103.94,134153.26,8760.0,225937.99,36.42,16.01,16.0,1.83,10.42,12.0,13.0,13.42,14.83,16.0,17.0,18.0,18.58,19.83,22.0,0.2,100.0,8760.0
7,simulation,4B,2000s,Hospital,Albuquerque,22000,0.39,4869589634.27,100.0,8760.0,100.0,2304083.92,2304083.92,102.7,555889.23,555889.23,461709.42,461709.42,37866.75,37866.75,22.18,49.97,63.22,81.97,92.39,98.78,99.85,99.93,99.98,245413.62,795916.26,8760.0,0.89,1899324135.65,100.0,100.0,8760.0,446091.17,446091.17,19.88,216817.82,216817.82,207446.04,207446.04,26462.9,26462.9,0.15,2.47,12.79,33.94,59.1,75.94,86.4,94.82,98.9,161828.77,264392.29,8760.0,379128.97,38.65,13.68,13.73,-8.47,0.46,3.76,5.35,7.16,10.46,13.73,17.02,19.89,21.27,22.84,26.99,0.19,100.0,8760.0
8,simulation,1A,2000s,HotelLarge,Miami,11000,0.03,4963636981.33,99.25,8694.0,100.0,882074.25,882074.25,77.75,566625.23,570926.73,615326.56,616489.45,0.0,1327.34,3.95,7.16,10.48,14.53,19.93,31.5,50.58,73.81,95.21,487590.58,710206.88,8760.0,0.94,169302175.54,100.0,90.68,7944.0,121531.94,121531.94,10.71,19326.73,21311.96,15461.71,17058.7,0.0,0.25,39.51,71.5,85.17,92.63,96.61,98.72,99.73,99.91,99.97,7091.98,26915.77,8760.0,121531.94,35.35,24.51,25.1,5.25,18.3,21.53,22.45,23.01,24.19,25.1,26.1,26.99,27.55,28.26,29.65,0.14,89.93,7878.0
9,simulation,2A,2020s,OutPatientHealthCare,Tampa,4000,0.09,1361849053.07,100.0,8760.0,100.0,445742.22,445742.22,117.18,155462.22,155462.22,125080.11,125080.11,40.51,40.51,14.26,29.05,54.41,69.46,73.98,79.67,86.46,93.84,99.34,79359.3,233908.06,8760.0,0.98,122399119.03,100.0,100.0,8760.0,99823.43,99823.43,26.24,13972.5,13972.5,11066.68,11066.68,3472.24,3472.24,43.42,80.42,91.83,96.84,98.96,99.58,99.83,99.94,99.97,6716.17,17543.47,8760.0,97849.88,36.07,21.89,23.74,-3.4,11.39,15.85,17.38,18.76,21.57,23.74,25.0,26.1,26.7,27.49,30.0,0.22,100.0,8760.0
10,simulation,5C,2020s,HotelLarge,Port Angeles,11000,1.01,202113402.4,75.67,6629.0,100.0,347144.22,347144.22,30.6,23072.31,30489.27,5200.21,11093.21,0.0,102.12,79.78,89.33,94.13,96.92,98.54,99.37,99.67,99.86,99.97,304.25,25213.94,8760.0,0.09,204922991.14,100.0,84.6,7411.0,119088.24,119088.24,10.5,23393.04,27651.19,12432.83,20265.25,0.0,0.0,49.59,61.16,71.11,79.05,86.15,91.99,96.83,99.45,99.93,262.18,41643.18,8760.0,118834.29,29.58,9.26,9.0,-5.36,2.98,4.58,5.58,6.0,7.42,9.0,10.42,12.0,12.58,13.58,16.58,0.34,60.27,5280.0
11,simulation,5C,2020s,OutPatientHealthCare,Port Angeles,4000,0.43,319045645.95,99.35,8703.0,100.0,225255.73,225255.73,59.22,36420.74,36659.27,21603.3,21768.51,0.0,15.66,52.39,74.68,85.61,91.15,94.14,96.12,97.49,99.22,99.89,13987.72,45554.49,8760.0,0.82,136024112.81,100.0,100.0,8760.0,116844.97,116844.97,30.72,15527.87,15527.87,11030.02,11030.02,3696.05,3696.05,53.04,82.01,91.84,96.48,98.32,99.17,99.71,99.94,99.99,7091.76,19225.37,8760.0,116844.97,29.58,9.26,9.0,-5.36,2.98,4.58,5.58,6.0,7.42,9.0,10.42,12.0,12.58,13.58,16.58,0.52,99.35,8703.0
12,simulation,7,2020s,OfficeLarge,International Falls,46000,0.64,1016753503.17,44.83,3927.0,100.0,3745411.78,3745411.78,80.86,116067.75,258913.55,0.0,22224.51,0.0,0.01,88.85,94.1,96.74,99.3,99.87,99.92,99.94,99.95,99.98,0.0,10370.94,8760.0,0.0,646204771.69,100.0,46.18,4045.0,2133282.91,2133282.91,46.05,73767.67,159753.96,0.0,55129.26,0.0,0.01,89.81,95.78,97.43,98.18,98.52,99.26,99.66,99.89,99.94,0.0,40999.72,8760.0,2133282.91,34.75,3.36,5.0,-35.35,-18.01,-9.9,-6.53,-3.65,0.11,5.0,9.19,13.47,15.25,17.09,20.84,0.57,17.57,1539.0
13,simulation,4A,2000s,HotelLarge,New York,11000,0.33,1790748738.49,71.1,6228.0,100.0,833357.52,833357.52,73.45,204423.37,287531.91,47990.98,250887.79,0.0,502.86,53.42,59.62,64.42,69.22,74.43,80.62,88.08,95.14,98.64,0.0,423612.75,8760.0,0.29,589758706.99,100.0,99.69,8733.0,283057.43,283057.43,24.95,67324.05,67532.2,55574.35,55819.94,0.0,3.17,22.28,50.78,67.4,82.11,91.94,97.26,98.96,99.58,99.89,30616.03,98890.14,8760.0,283057.43,36.45,12.55,12.58,-13.65,0.25,3.3,4.65,6.06,8.94,12.58,15.89,19.47,21.1,22.2,25.25,0.34,70.79,6201.0
14,simulation,5B,2020s,OutPatientHealthCare,Denver,4000,0.32,452394658.98,95.66,8380.0,100.0,264587.79,264587.79,69.55,51643.23,53985.04,25594.71,28584.57,0.0,10.3,50.56,66.61,78.72,84.11,87.82,90.98,94.05,97.51,99.68,11369.31,68508.04,8760.0,0.58,143256486.44,100.0,100.0,8760.0,202992.78,202992.78,53.36,16353.48,16353.48,9377.48,9377.48,2579.66,2579.66,76.77,91.21,96.44,98.32,99.14,99.63,99.85,99.93,99.95,5635.08,18988.16,8760.0,202992.78,39.05,10.02,9.66,-22.58,-4.0,0.0,1.42,3.17,6.25,9.66,13.75,17.0,18.58,20.14,25.0,0.77,95.66,8380.0
15,simulation,4C,2000s,OutPatientHealthCare,Seattle,4000,0.7,607612669.22,99.95,8756.0,100.0,339358.15,339358.15,89.21,69362.18,69393.86,41222.73,41267.02,0.0,30.78,42.43,57.63,74.7,87.39,93.26,96.42,98.2,99.21,99.66,25157.76,102368.82,8760.0,0.7,425249699.57,100.0,100.0,8760.0,191543.73,191543.73,50.35,48544.49,48544.49,43621.53,43621.53,8381.12,8381.12,8.53,41.31,68.7,86.23,94.67,98.29,99.33,99.79,99.94,29340.92,63184.38,8760.0,191452.47,31.55,11.24,11.06,-5.6,3.9,5.89,6.74,7.66,9.4,11.06,12.55,14.11,15.0,16.1,19.4,0.56,99.95,8756.0
16,simulation,5C,2020s,Hospital,Port Angeles,22000,1.03,1501479883.15,100.0,8760.0,100.0,1024824.22,1024824.22,45.68,171401.81,171401.81,114942.33,114942.33,19633.13,19633.13,43.76,75.34,88.12,92.13,94.61,95.83,97.72,99.24,99.84,72260.07,203444.35,8760.0,0.71,1543704330.43,100.0,100.0,8760.0,319749.76,319749.76,14.25,176221.96,176221.96,174185.17,174185.17,71150.76,71150.76,0.0,0.0,3.3,12.59,37.45,64.36,84.82,96.93,99.82,146414.61,206864.18,8760.0,285158.84,29.58,9.26,9.0,-5.36,2.98,4.58,5.58,6.0,7.42,9.0,10.42,12.0,12.58,13.58,16.58,0.31,100.0,8760.0
